City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Fereydun Kenar,IR,79.07,overcast clouds,36.69,52.52,Khezer Shahr Tourist Hotel
262,Ixtapa,MX,87.8,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
263,Banda Aceh,ID,80.62,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
268,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
270,Timra,SE,73.0,few clouds,62.49,17.33,Wifstavarfs Herrgård
273,Shillong,IN,86.0,mist,25.57,91.88,Cafe Shillong Bed and Breakfast
274,Tura,IN,76.69,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
276,Ubatuba,BR,75.2,clear sky,-23.43,-45.07,Hotel Pousada Dellamares
277,Bayir,TR,87.8,clear sky,37.27,28.22,Buban Otel
280,Hami,CN,85.5,scattered clouds,42.8,93.45,Laoyutang Resort
284,Guerrero Negro,MX,78.24,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
287,Changji,CN,82.4,clear sky,44.02,87.32,Lvye Holiday Resort
292,Nieuwpoort,BE,78.01,scattered clouds,51.12,2.77,Hotel Gemeente Huis
299,Maningrida,AU,70.39,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
301,Ganzhou,CN,80.73,overcast clouds,28.82,115.43,Gold Jiao Hotel
306,Kaliua,TZ,74.59,few clouds,-5.06,31.79,Millennium Complex
307,Wau,SS,72.28,scattered clouds,7.7,28.0,Universal Gab Hotel
317,Uige,AO,75.88,overcast clouds,-7.61,15.06,Juliao Pereira
318,Trinidad,BO,89.6,few clouds,-14.83,-64.9,Hotel Piesta
320,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
321,Luton,GB,81.0,broken clouds,51.88,-0.42,Hampton by Hilton London Luton Airport
324,Senneterre,CA,71.6,scattered clouds,48.38,-77.23,Motel Senabi
326,Neepawa,CA,77.0,few clouds,50.23,-99.47,"Westway Inn Motel, Neepawa"
327,Nhulunbuy,AU,75.2,broken clouds,-12.23,136.77,East Arnhem Real Estate
329,Barberino Di Mugello,IT,84.2,few clouds,44.0,11.24,Hotel Il Cavallo
332,Dingle,PH,77.45,light rain,11.0,122.67,Camp Pasica
333,Santa Rosalia,MX,87.49,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
334,Samarai,PG,78.73,light rain,-10.62,150.67,Nuli Sapi
335,Oyugis,KE,73.4,scattered clouds,-0.51,34.74,Hotel Ayadom
338,Jadu,LY,73.04,clear sky,31.95,12.03,سيفاو عبازة
339,Champasak,LA,75.13,light rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
340,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
341,Sola,VU,76.42,scattered clouds,-13.88,167.55,Leumerus Bungalows
342,Chiredzi,ZW,71.22,clear sky,-21.05,31.67,The Nesbitt Arms
343,Santa Cruz,BO,89.6,few clouds,-17.8,-63.17,Hotel Cortez
344,Uchiza,PE,87.69,scattered clouds,-8.46,-76.46,Hotel El Rancho
346,Katsuura,JP,80.01,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
347,Hirara,JP,83.95,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
348,Torbay,CA,82.0,few clouds,47.67,-52.73,Gallows Cove
352,Oistins,BB,86.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
355,Bandarbeyla,SO,77.86,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
356,Porto Novo,BJ,77.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
357,Campo Grande,BR,84.2,clear sky,-20.44,-54.65,OYO Hotel Iguaçu
359,Jiayuguan,CN,76.32,broken clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
361,Abonnema,NG,76.69,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
364,Mouzouras,GR,80.6,few clouds,35.53,24.15,Areti Suites
370,Kilindoni,TZ,76.37,clear sky,-7.91,39.67,Bustani B&B
371,Touros,BR,80.6,shower rain,-5.2,-35.46,INN NEW HORIZON
374,Dandong,CN,70.9,scattered clouds,40.13,124.39,Yiranju Farmstay
375,Wahpeton,US,73.99,broken clouds,46.27,-96.61,Select Inn Breckenridge
378,Rio Casca,BR,77.97,clear sky,-20.23,-42.65,Hotel Morada do Sol
379,Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
380,Porbandar,IN,82.4,moderate rain,21.64,69.61,Lords Inn Porbandar
381,Fethiye,TR,86.0,clear sky,36.62,29.12,Club & Hotel Letoonia
383,Margate,GB,82.99,few clouds,51.38,1.39,Premier Inn Margate hotel
384,Ugoofaaru,MV,82.74,light rain,5.67,73.0,Ungoofaaru Inn
388,Hambantota,LK,80.56,overcast clouds,6.12,81.12,Bungalow 63
391,Caravelas,BR,75.56,clear sky,-17.71,-39.25,Pousada dos Navegantes
394,San Patricio,MX,89.6,few clouds,19.22,-104.7,Hotel Cabo Blanco
396,Zhezkazgan,KZ,85.41,light rain,47.8,67.71,Kvartiry Posutochno.
398,Weligama,LK,77.85,light rain,5.97,80.42,Weligama Bay Resort
399,Miandrivazo,MG,72.61,few clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
400,Aguadilla,PR,87.01,moderate rain,18.43,-67.15,WSSM Surf House
402,Cravo Norte,CO,77.29,overcast clouds,6.3,-70.2,Hotel El Puerto
404,Takoradi,GH,76.01,overcast clouds,4.88,-1.76,Raybow International Hotel
405,Asau,RO,70.0,scattered clouds,46.43,26.4,Casa Mika Ciobanus
406,Bar Harbor,US,81.0,clear sky,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
409,Pangkalanbuun,ID,74.61,few clouds,-2.68,111.62,Grand Kecubung Hotel
410,Trairi,BR,85.84,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
411,Portoferraio,IT,80.6,clear sky,42.81,10.31,Hotel Villa Ombrosa
412,Lagoa,PT,72.84,overcast clouds,39.05,-27.98,Casa Das Faias
416,Nichinan,JP,78.01,clear sky,31.6,131.37,Guest House Aki
419,Krasnogorsk,RU,73.4,scattered clouds,55.82,37.32,"Hotel ""Academy"""
420,Marsh Harbour,BS,84.78,light rain,26.54,-77.06,Abaco Beach Resort
421,Buala,SB,80.87,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
423,Nabire,ID,74.7,light rain,-3.37,135.48,Hotel Nusantara Nabire
426,Gimli,CA,82.0,clear sky,50.63,-96.99,Lakeview Gimli Resort
