City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Tuatapere,NZ,2020-08-05 17:47:06,-46.13,167.68,39.99,97,100,3.0
135,Provideniya,RU,2020-08-05 17:46:31,64.38,-173.3,49.89,73,100,5.88
136,Dikson,RU,2020-08-05 17:48:20,73.51,80.55,46.62,90,93,17.07
137,Talcahuano,CL,2020-08-05 17:48:20,-36.72,-73.12,57.2,58,40,12.75
138,Niksar,TR,2020-08-05 17:48:20,40.59,36.95,64.36,75,0,3.85
139,Sao Joao Da Barra,BR,2020-08-05 17:46:33,-21.64,-41.05,77.0,47,40,8.05
140,Taruma,BR,2020-08-05 17:48:20,-22.75,-50.58,81.64,27,0,6.87
141,Katangli,RU,2020-08-05 17:48:21,51.71,143.23,50.23,95,100,5.5
142,Ninotsminda,GE,2020-08-05 17:48:21,41.26,43.59,62.6,55,5,12.75
143,Uhlove,UA,2020-08-05 17:48:21,44.82,33.6,72.82,51,0,14.34
144,Ponta Delgada,PT,2020-08-05 17:47:03,37.73,-25.67,75.2,83,20,12.75
145,Chuy,UY,2020-08-05 17:46:25,-33.7,-53.46,71.46,67,0,9.24
146,Bethel,US,2020-08-05 17:48:01,41.37,-73.41,86.0,57,20,5.82
147,Moose Factory,CA,2020-08-05 17:48:21,51.26,-80.61,60.8,93,75,11.41
148,Lokosovo,RU,2020-08-05 17:48:21,61.13,74.82,64.02,75,86,8.41
149,Itamarandiba,BR,2020-08-05 17:48:21,-17.86,-42.86,67.28,58,66,8.14
150,Ostrovnoy,RU,2020-08-05 17:46:30,68.05,39.51,56.89,87,100,4.32
151,Ovsyanka,RU,2020-08-05 17:48:21,55.96,92.55,53.6,87,71,4.47
152,Santa Rosalia,MX,2020-08-05 17:48:21,27.32,-112.28,90.16,52,5,7.11
153,Bengkulu,ID,2020-08-05 17:46:29,-3.8,102.27,76.35,81,92,4.59
154,Xining,CN,2020-08-05 17:46:46,36.62,101.77,63.59,80,88,0.67
155,Conceicao Do Araguaia,BR,2020-08-05 17:48:22,-8.26,-49.26,94.46,25,0,7.02
156,Werda,BW,2020-08-05 17:48:22,-25.27,23.28,62.96,27,0,7.45
157,Ramganj Mandi,IN,2020-08-05 17:48:22,24.65,75.93,84.94,74,67,10.31
158,Aykhal,RU,2020-08-05 17:46:32,66.0,111.5,68.0,37,0,6.71
159,Viedma,AR,2020-08-05 17:45:22,-40.81,-63.0,60.01,61,29,8.01
160,Victoria,HK,2020-08-05 17:43:11,22.29,114.16,78.01,94,20,12.75
161,Portland,US,2020-08-05 17:43:26,45.52,-122.68,75.0,52,1,5.82
162,Husavik,IS,2020-08-05 17:48:22,66.04,-17.34,55.4,82,90,4.7
163,Behbahan,IR,2020-08-05 17:48:22,30.6,50.24,102.2,15,0,18.34
164,Nampula,MZ,2020-08-05 17:48:22,-15.12,39.27,73.4,69,0,13.87
165,Jalu,LY,2020-08-05 17:46:31,29.03,21.55,94.05,17,0,8.55
