City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
139,Provideniya,64.38,-173.3,41.34,66,76,7.78,RU,broken clouds
140,Khatanga,71.97,102.5,52.18,82,23,7.02,RU,few clouds
141,Karasuk,53.74,78.04,67.26,68,0,3.33,RU,clear sky
142,Smiltene,57.42,25.9,71.01,68,65,3.74,LV,broken clouds
143,Khasan,42.43,130.64,67.78,91,2,3.98,RU,clear sky
144,Malanje,-9.54,16.34,74.1,20,79,2.53,AO,broken clouds
145,Alice Town,25.72,-79.3,84.31,72,46,5.88,BS,light rain
146,Port Elizabeth,-33.92,25.57,53.6,76,20,9.17,ZA,few clouds
147,Yining,29.04,114.56,78.33,86,87,2.86,CN,overcast clouds
148,Aklavik,68.22,-135.01,59.0,93,90,9.17,CA,overcast clouds
149,Hamilton,39.18,-84.53,81.0,53,75,6.93,US,broken clouds
150,Kang,-23.68,22.79,52.2,40,0,11.88,BW,clear sky
151,Lata,40.16,-8.33,88.0,46,0,7.72,PT,clear sky
152,Santa Fe,-31.63,-60.7,69.01,32,95,7.0,AR,overcast clouds
153,Tshikapa,-6.42,20.8,81.0,42,73,2.77,CD,broken clouds
154,Tuktoyaktuk,69.45,-133.04,57.2,76,90,12.75,CA,overcast clouds
155,Lavrentiya,65.58,-171.0,38.59,75,100,10.49,RU,overcast clouds
156,Pilar,-9.6,-35.96,80.6,51,20,9.17,BR,few clouds
157,Daru,-9.08,143.21,76.96,90,99,7.25,PG,overcast clouds
158,Souillac,-20.52,57.52,68.0,64,75,12.75,MU,shower rain
159,Barra Do Garcas,-15.89,-52.26,90.59,21,0,6.87,BR,clear sky
160,Preobrazheniye,42.9,133.91,65.3,88,83,10.04,RU,broken clouds
161,Damavand,35.72,52.06,80.6,36,20,16.11,IR,few clouds
162,Turkistan,43.0,68.0,84.2,14,0,15.84,KZ,clear sky
163,Cherskiy,68.75,161.3,48.99,91,100,22.17,RU,overcast clouds
164,Constitucion,-35.33,-72.42,55.27,52,35,12.86,CL,scattered clouds
165,Luderitz,-26.65,15.16,69.8,12,31,19.46,NA,scattered clouds
